_id,id_local,id_distrito_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,Nombre,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,,__1,__2,__3,__4,__5,__6,__7,inspeccionar,estado,revision.prox_inspeccion,revision.puntuacion,revision.comentario
7,280067128,20,SAN BLAS-CANILLEJAS,ROSAS,CALLE,177,28022,"448900,55","4474755,41",Abierto,SR,2,Estacional,1,Abierta,"7,2",CALLE,SOFIA,177,A,Acera,8:00:00,00:00:00,,,8:00:00,1:30:00,,,0,,5,,10,A,,,,,,,,,false,2,10,80,separar las mesas
32,270068967,4,SALAMANCA,RECOLETOS,CALLE,19,28001,"441830,59","4475475,52",Abierto,JURUCHA,2,Estacional,1,Abierta,"18,38",CALLE,AYALA,19,,Acera,8:00:00,00:00:00,,,8:00:00,1:30:00,,,0,,10,,20,,,,,,,,,,false,2,10,80,separar las mesas
33,270403150,4,SALAMANCA,GUINDALERA,AVENIDA,2,28028,"442586,58","4476524,51",Cerrado,HONTANARES,1,Anual,1,Cerrado,"21,06",AVENIDA,AMERICA,2,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,9,9,27,,,,,,,,,,false,3,,,
34,270078567,4,SALAMANCA,GUINDALERA,CALLE,25,28028,"442986,58","4476379,5",Cerrado,BAR MARISQUERIA LUIS,1,Anual,1,Cerrado,"11,16",CALLE,ALONSO HEREDIA,25,,Calle peatonal,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,4,0,14,,,,,,,,,,,,,,
36,40002021,4,SALAMANCA,GUINDALERA,CALLE,10,28028,"442972,58","4476350,5",Cerrado,SAGAR,2,Estacional,1,Cerrado,"7,2",CALLE,ALONSO HEREDIA,22,,Calle peatonal,10:00:00,00:00:00,,,10:00:00,0:00:00,,,0,,5,,10,,,,,,,,,,,,,,
40,40002808,4,SALAMANCA,RECOLETOS,CALLE,14,28001,"441656,59","4475470,52",Abierto,WAGABOO,1,Anual,1,Abierta,"25,48",CALLE,AYALA,14,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,1,1,8,8,24,,,,,,,,,,false,3,10,80,separar las mesas
41,270495851,4,SALAMANCA,RECOLETOS,CALLE,59,28014,"441350,59","4474585,52",Abierto,THE JAMES JOYCE IRISH PUB,1,Anual,1,Abierta,"21,04",CALLE,ALCALA,59,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,6,6,24,,,,,,,,,,true,3,10,80,separar las mesas
44,40001459,4,SALAMANCA,GUINDALERA,AVENIDA,32,28028,"442926,58","4476681,5",Cerrado,HOTEL ABBA MADRID,2,Estacional,1,Cerrado,"19,44",AVENIDA,AMERICA,32,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,6,,24,,,,,,,,,,false,3,,,
50,180000457,18,VILLA DE VALLECAS,CASCO H.VALLECAS,PLAZA,5,28031,"447240,53","4470141,43",Abierto,LA PLAZA,1,Anual,1,Abierta,"84,68",PLAZA,JUAN DE MALASA?A,5,,Plaza peatonal,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,27,21,92,,,,,,,,,,,,10,80,separar las mesas
51,270076142,4,SALAMANCA,GUINDALERA,CALLE,225,28028,"443565,58","4475688,49",Cerrado,EL NUEVO RINC?N DE JA?N,2,Estacional,1,Cerrado,"32,98",CALLE,ALCALA,225,,Acera,8:00:00,00:00:00,,,8:00:00,1:30:00,,,2,,14,,43,,,,,,,,,,true,,,,
